# x,y,index,family
# # Moire fringe polylines traced from H-MoSe2/WSe2 STM topograph.
# # Family 1 = I fringes, Family 2 = J fringes.
# # Source: Halbertal et al., ACS Nano 16, 1471 (2022), Fig. 1.
-187.079408,-203.903096,-24,1
-201.211306,-129.205922,-24,1
-220.726783,-23.553163,-24,1
-229.475101,29.609690,-24,1
-236.877524,76.043069,-24,1
-240.915209,115.746972,-24,1
-245.625841,160.161507,-24,1
-248.990579,205.248991,-24,1
-245.625841,249.663526,-24,1
-192.462988,-248.317631,-26,1
-206.594886,-199.192463,-26,1
-224.764468,-104.306864,-26,1
-237.550471,-30.282638,-26,1
-248.990579,12.786003,-26,1
-212.651413,-249.663526,-28,1
-224.764468,-197.173620,-28,1
-236.877524,-139.973082,-28,1
-250.336474,-88.156124,-28,1
-230.148048,-251.682369,-30,1
-238.223419,-218.707941,-30,1
-250.336474,-179.004038,-30,1
-240.242261,-249.663526,-31,1
-249.663526,-222.072678,-31,1
